Date;Component;Affiliate Name;Class Name;Result;Is Personal Record;Personal Record Description;Performance Result Type;Comment;From Weightlifting Total
09/03/2018;Back Squat;CrossFit Sudurnes;16:30 CrossFit;1 x 1 @ 60 kg;FALSE;;Weight;;FALSE
08/08/2018;Powerclean + Thruster + Cluster;CrossFit Sudurnes;18:30 Ólympískar lyftingar;1 x 1 @ 40 kg;FALSE;;Weight;;FALSE
08/08/2018;Power Snatch + Owerhead Squat + Hang Snatch;CrossFit Sudurnes;18:30 Ólympískar lyftingar;1 x 1 @ 25 kg;FALSE;;Weight;;FALSE
08/08/2018;Snatch;CrossFit Sudurnes;18:30 Ólympískar lyftingar;1 x 2 @ 27.5 kg;FALSE;;Weight;;FALSE
08/08/2018;Power Clean + Push Jerk;CrossFit Sudurnes;18:30 Ólympískar lyftingar;1 x 10 @ 40 kg;FALSE;;Weight;1:13;FALSE
07/26/2018;Back Rack Reverse Lunge;CrossFit Sudurnes;12:00 CrossFit;4 x 8 @ 35 kg;FALSE;;Weight;;FALSE
07/26/2018;DB incline bench press;CrossFit Sudurnes;12:00 CrossFit;4 x 10 @ 12.5 kg;FALSE;;Weight;;FALSE
07/12/2018;Back Squat;CrossFit Sudurnes;12:00 CrossFit;3 x 8 @ 40 kg;FALSE;;Weight;;FALSE
06/29/2018;Dumbbell Prone Row;CrossFit Sudurnes;6:00 CrossFit;3 x 10 @ 10 kg;FALSE;;Weight;;FALSE
06/29/2018;Single Arm Dumbell Press;CrossFit Sudurnes;6:00 CrossFit;3 x 10 @ 12.5 kg;TRUE;PR by 3.5 kg vs. 9 on 06/23/2018;Weight;;FALSE
06/23/2018;Dumbbell Prone Row;CrossFit Sudurnes;9:45 CrossFit;3 x 10 @ 10 kg;FALSE;;Weight;;FALSE
06/23/2018;Single Arm Dumbell Press;CrossFit Sudurnes;9:45 CrossFit;3 x 10 @ 9 kg;FALSE;;Weight;;FALSE
06/05/2018;Bulgarian Split Squat;CrossFit Sudurnes;12:00 CrossFit;4 x 10 @ 7.5 kg;FALSE;;Weight;;FALSE
06/05/2018;Bench Press m. handlóð;CrossFit Sudurnes;12:00 CrossFit;4 x 10 @ 10 kg;FALSE;;Weight;;FALSE
05/31/2018;Power Snatch;CrossFit Sudurnes;12:00 CrossFit;1 x 1 @ 40 kg;FALSE;;Weight;;FALSE
05/31/2018;Power Clean;CrossFit Sudurnes;12:00 CrossFit;1 x 1 @ 60 kg;FALSE;;Weight;;FALSE
05/17/2018;Hang Power Clean + Hang Squat Clean + Split Jerk;CrossFit Sudurnes;6:00 CrossFit;1 x 1 @ 45 kg;FALSE;;Weight;;FALSE
05/17/2018;Back Squat;CrossFit Sudurnes;6:00 CrossFit;1 x 2 @ 62.5 kg;FALSE;;Weight;;FALSE
05/16/2018;Power Snatch + Snatch;CrossFit Sudurnes;19:30 Ólympískar lyftingar;1 x 1 @ 32.5 kg;FALSE;;Weight;;FALSE
05/16/2018;Power Clean + Cluster + Clean & Jerk;CrossFit Sudurnes;19:30 Ólympískar lyftingar;1 x 1 @ 42.5 kg;FALSE;;Weight;;FALSE
05/16/2018;Power Clean;CrossFit Sudurnes;19:30 Ólympískar lyftingar;1 x 38 @ 32.5 kg;TRUE;;Weight;;FALSE
05/16/2018;Power Snatch;CrossFit Sudurnes;19:30 Ólympískar lyftingar;8 x 3 @ 25 kg;FALSE;;Weight;;FALSE
05/14/2018;Deadlift;CrossFit Sudurnes;6:00 CrossFit;5 x 6 @ 75 kg;FALSE;;Weight;;FALSE
04/27/2018;Hang Powerclean + Powerclean;CrossFit Sudurnes;17:30 CrossFit;1 x 4 @ 45 kg;FALSE;;Weight;;FALSE
04/23/2018;Power Clean + Push Press + 1 Push Jerk;CrossFit Sudurnes;11:00 Ólympískar lyftingar;1 x 1 @ 45 kg;TRUE;PR by 2.5 kg vs. 42.5 on 11/08/2017;Weight;;FALSE
04/23/2018;Muscle Snatch+ Snatch Push Jerk Behind Neck;CrossFit Sudurnes;11:00 Ólympískar lyftingar;1 x 1 @ 30 kg;FALSE;;Weight;;FALSE
04/23/2018;Power Clean + Split Jerk;CrossFit Sudurnes;11:00 Ólympískar lyftingar;1 x 1 @ 55 kg;TRUE;PR by 15 kg vs. 40 on 11/29/2017;Weight;;FALSE
04/23/2018;Muscle Snatch;CrossFit Sudurnes;11:00 Ólympískar lyftingar;1 x 2 @ 30 kg;FALSE;;Weight;;FALSE
04/23/2018;Hang Power Snatch + Power Snatch;CrossFit Sudurnes;11:00 Ólympískar lyftingar;1 x 1 @ 32.5 kg;FALSE;;Weight;;FALSE
